sentiment,text,selected_text
negative,@tom_pollard never. i'm banned by court order, banned
negative,@swbuehler don't let him hear you, don't let him hear you
negative,happy mom's day.  i haven't bought a present for my mom yet. what should i get her?, happy mom's day. i haven't bought a present for my mom yet.
positive,@andrew1913 theme tune? your robin i'm batman!, your robin i'm batman!
neutral,@misskristelle love to but can't swing the 11 am  i would more than likely do an evening tweetup in the future!, @misskristelle love to but can't swing the 11 am i would more than likely do an evening tweetup in the future!
negative,"@superfro432 is it bad that i'm sitting here watching a #pens replay and getting excited? i think it's the coffee, but... who knows.", bad
positive,"installing dvt card for loonix, fingers crossed, i hope it turns out as well as my android upgrade"," fingers crossed, i hope"
neutral,"off school today, happy may day."," off school today, happy may day."
negative,i really don't like this weather, i really don't like this weather
positive,ooooo! i'm lovin the first lady's fuschia sheath dress! tres chic! i want her arms!, lovin
negative,has the day open until 4. don't know what to do. everyone is leaving today, don't know what to do.
neutral,studying the american revolution...george washington, studying the american revolution...george washington
positive,wishes happy mothers' day to all moms out there., happy
positive,"eating which wich, yumm! dont think i've had it since the season ended", yumm!
negative,i'm going to miss miss suhana, miss
negative,@chicalit finding a place to crap on the move eh? whoever said technology is crap?, crap
neutral,@gay_emo_zac haha... i wouldn't be surprised... the few cute ones here are either taken or straight..., @gay_emo_zac haha... i wouldn't be surprised... the few cute ones here are either taken or straight...
neutral,@_meeslovesyou_ grounded from the computer... sucks for you., @_meeslovesyou_ grounded from the computer... sucks for you.
neutral,@girlbutgeek ton ipod est mort? dur... prends un iphone, @girlbutgeek ton ipod est mort? dur... prends un iphone
positive,@ddlovato  i just saw your performance on the ellen show. we're so behind in australia  you were amazing and have such a wonderful voice!, you were amazing
negative,@kinoflyhigh fuck i shouldnt have left!, fuck i shouldnt have left!
negative,hope's she see her bestie today, hope's she see her bestie today
positive,we &lt;3 richard, richard
negative,i should go shower but ffaf is fucking distraaaaacting, fucking distraaaaacting
positive,it sleepy time  [&lt;cody&gt;], it sleepy time
positive,happy mother's day nfty!!!!!!!!!!!!!!!!!!!!!!, happy
negative,"is @ school, we're gonna learn how to use skype"," is @ school, we're gonna learn how to use skype"
negative,waubonsie lost  they're out. i'm soo pissed, i'm soo pissed
negative,"yep, @candymantk9772. sleep-fail. in another 7-8 hours, it'll be d&amp;d-fail.", sleep-fail.
positive,happy mother's day everyone, happy
positive,@redrobinrockn next one for you!, next one for you!
negative,currently working on the sdp's prototype.... so much to do..., so much to do...
negative,@cinemachic i have the most failures using lacie drives, failures
positive,"it's official, i'm finally getting grey hairs at 36  #fb"," it's official, i'm finally getting grey hairs at 36 #fb"
positive,@xtinesamonte  what's going on ?, what's going on
positive,just loaned out a set of aerobars to team mate for tomorrow's texas cup race at alkek. bummed i won't be there., bummed
negative,son of a bitch!!!! arggghhhhhhhhhhh so over it., son of a bitch!!!!
positive,@margotrobbie oh that makes sense! well you are officially my first @reply from a celebrity!!, oh that makes sense! well you are officially my first @reply from a celebrity!!
positive,watch jay leno tonite!!!  it's his last day as the tonite show host and  late nite leader, it's his last day as the tonite show host and late nite leader
positive,goooood beer tiiiimes, goooood
negative,@3easy last week of july  will you be up and at em by then?, @3easy last week of july will you be up and at em by then?
neutral,is about to start stupid chores!!!! ewww.... stupid chores!!!!, is about to start stupid chores!!!! ewww.... stupid chores!!!!
neutral,"great weekend ahead at #catlaughs comedy festival in kilkenny, weather is fantastic. unfortunately i have to go to israel on sunday"," great weekend ahead at #catlaughs comedy festival in kilkenny, weather is fantastic. unfortunately i have to go to israel on sunday"
negative,"i miss @billiesyadrie i'm sorry for being able to call you when u already sleep  i love you,have a great trip tomorrow! send my ? to them!", i miss @billiesyadrie i'm sorry
negative,can't sleep but is happy that the fugees are keeping him company, can't sleep but is happy that the fugees are keeping him company
neutral,didn't get a band leadership position, didn't get a band leadership position
negative,i've come to the conclusion that lemongrass chicken tastes like lysol -  so much for lunch!, i've come to the conclusion that lemongrass chicken tastes like lysol - so much for lunch!
positive,tomorrow it will be a warm day..  for some reason i don't like the sun that much. xd but i'll go swim! ;d so that's better. xd, better.
positive,"haha!!! korn is funny!!  ugh... if i drink any more $10 beers , i'm going to... get fat! :/", funny!!
neutral,@therealsavannah i think you are a follow-your-dreams-and-they-will-come-true person. that's why your my  favourite youtube star, @therealsavannah i think you are a follow-your-dreams-and-they-will-come-true person. that's why your my favourite youtube star
positive,zach g. gets an extensive profile in this weekend's ny times magazine. the chances of us falling in love are getting fewer and fewer., the chances of us falling in love are getting fewer and fewer.
negative,@izzndsophtv i want to experience snow  we don't have snow here and it sucks, sucks
neutral,@lopimpson14 helloo, @lopimpson14 helloo
positive,@bugmum oh and twas my very brilliant idea if i do say so myself  what can i say i'm an ideas woman, brilliant
positive,@biomedwiz miss u too. i'm still at a club...u know...west coast shit!, miss u too. i'm still at a club...u know...west coast shit!
negative,has just bought attics to eden by madina lake  it's totally amazing, it's totally amazing
negative,ughhh! this is the third bottle of foundation i've broken, ughhh! this is the third bottle of foundation i've broken
positive,we'll write a song that turns out the lights &lt;3, we'll write a song that turns out the lights &lt;3
positive,i don't know how to quit you-brokeback mountain, i don't know how to quit you-brokeback mountain
positive,@rae4osu where ya at girlie...haven't heard from you in a while  missing your cheery disposition...lol, cheery disposition...lol
negative,pissed at you @katiehanrahan  http://myloc.me/21cu, pissed at you
neutral,damn i'm pass 400 updates! haha! tweet tweet tweet!!!!!!, damn i'm pass 400 updates! haha! tweet tweet tweet!!!!!!
negative,"ugh, i don't know if u even care about nicole richie, but i do and c that i missed her on tv last nite despite the twitter  @jennortigoza"," ugh, i don't know if u even care about nicole richie, but i do and c that i missed"
negative,"loving the weather this weekend, shame i'm back into work tomorrow", shame
negative,@mitchelmusso i love you but i can't call you cause i live in argentina  really really love you mitchel!, i love you but i can't call you cause i live in argentina really really love you mitchel!
positive,@shadrach i'm just following you because we're both wearing converse, i'm just following you because we're both wearing converse
negative,it's /far/ too sticky hot today. i do wish my cars air conditioning worked, too sticky hot today.
positive,"world's happiest places ...   denmark, finland and the netherlands", happiest places
positive,relaxin after a fun day, fun day
negative,it's a sad economy. just heard of another friend losing their job.  so sad. but just a reminder that..., sad
negative,watching scrubs season 2. oh i'm gonna miss that show, miss
neutral,i can't seem to access restuarant city due to some internet / javascript problem..., i can't seem to access restuarant city due to some internet / javascript problem...
negative,@bizfizz damn damn and blast!  i'm at lmhr tomorrow and sam out   who is running it?  i could see if she could join next week?, damn damn and blast!
neutral,@msmoss i can still read 'em..., @msmoss i can still read 'em...
neutral,"@adawada a towel, a &quot;sub-etha sens-o-matic&quot; and the guide ??"," @adawada a towel, a &quot;sub-etha sens-o-matic&quot; and the guide ??"
neutral,whoishonorsociety &lt;never wear your pajama pants to school  &gt;, whoishonorsociety &lt;never wear your pajama pants to school &gt;
neutral,@dneero lol minimize the use of computers?  or... discover ecofriendly devices, @dneero lol minimize the use of computers? or... discover ecofriendly devices
neutral,- doesn`t have a phone., - doesn`t have a phone.
neutral,alright @brainerdbaptist. let's do this, alright @brainerdbaptist. let's do this
positive,@jasonperryrock is you cat clean again?  hope so ;) xx, hope
negative,errr....i don't want to go sit in the heat and watch a high school graduation.,i don't want to go sit in the heat
neutral,@jsaladino why you come down in sept? that's when i start school, @jsaladino why you come down in sept? that's when i start school
positive,"lipsynching to david c's heroes and really feelin it. it's my fave track off dctr. after all, d is my hero..", fave
negative,@tmjassociation y does it hurt so much? i can't even chew gum.  i've lost so much weight because i can't even eat, y does it hurt
positive,"@larrytill i had recommended harney &amp; sons (http://www.harney.com/) from where i order much of my tea, i think.", recommended
positive,@indigogardens lol! joyologist? love it - much better than the happy freak who can't stop smiling  enjoy monday!, love
positive,let's make this last forever., let's make this last forever.
negative,@bridgers i have one too, i have one too
positive,i don't think i'm very well. just in time for the weekend, i don't think i'm very well.
positive,"done at disneyland, kid's knocked out, stopped by the hotel bar and grabbed a grey goose &amp; tonic on the way up...peace",...peace
negative,@scarfresh i want u to know i don't like u hun  j/p u know we go back, i don't like u
positive,"i love how small adelaide is. just ran into callum, of all people, at the airport. amazing to see him though", amazing
negative,wow i'm soo hungover, hungover
neutral,@blackittyblack haha... sorry  she should be in the whole like two people @bohemianchurch follows, @blackittyblack haha... sorry she should be in the whole like two people @bohemianchurch follows
negative,at drs again, at drs again
positive,well off 2 bed...cant wait 2 party 4 mother's day in like 14 hours or so, well off 2 bed...cant wait 2 party
negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol, didn't put on enough sunscreen
neutral,@mitsougelinas oui ta soeur!!, @mitsougelinas oui ta soeur!!
negative,supposed to be great weather today &amp; 2moro; just my luck im stuck in work 1-10 both days!, stuck
negative,"damn, need to replace macbook display. chf 670 for work and hardware - almost half of the mb price"," damn,"
negative,@joek949 it's depressing i'm stuck inside all day, depressing
positive,awwww!  i love simon being bossy &quot;we'll find the time somewhere&quot;, love
positive,missing my mother... t-11 days! happy mother's day!!, happy mother's day!!
negative,"prayin for dad  in wellington, fl http://loopt.us/f8_jqg.t (via @furman27).       i too live in welly.  may i pray for you?", may i pray for you?
neutral,wish i lived in or atleast relatively close to ohio!   haven't seen @smalltown_troy or @derk_mcloven in almost a year., wish i lived in or atleast relatively close to ohio! haven't seen @smalltown_troy or @derk_mcloven in almost a year.
negative,@yenbearr yis  i ryke it., i ryke it.
negative,went to see the dentist. can't eat and im starving. really sucks.  and ist's painful., really sucks.
positive,@alexxstar wow thot we'd lost ya lol lol, wow
positive,my special edition jfpl came today! all i have time to do is rip the demo cd to itunes and upload to my ipod before i go to work, special edition jfpl came today! all i have time to do is rip the demo cd to itunes and upload to my ipod before i go to work
negative,@meecheeko is a whore but she'll never know i said it cuz she doesn't love her twitter, she doesn't love her twitter
negative,it's too hot.  i don't like it., i don't like it.
negative,"@shiggashay - i only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min.", &amp;
neutral,@tinkersdamn ah yours is better! enjoy, @tinkersdamn ah yours is better! enjoy
neutral,@honeychild27 you're the only person to have joined in  #penilewords, @honeychild27 you're the only person to have joined in #penilewords
neutral,i really think there is play-doh in my tastykake brownie, i really think there is play-doh in my tastykake brownie
negative,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue", this sucks
neutral,@laurenxexcarter @polobandit he didn't come to school 2day, @laurenxexcarter @polobandit he didn't come to school 2day
positive,@sam_ho naw; it was before the 15 mins bug (where tanks would stop spawning after 15 mins)  i'm glad i get to keep it, i'm glad
positive,@iamepiclyamazin bahah. but....nick.., bahah. but....nick..
positive,@leahchu  that's the worst dream ever. weird to think all of those thoughts are in your subconscious., that's the worst dream ever. weird to think all of those thoughts are in your subconscious.
negative,http://twitpic.com/4wegx - @stealthrose lol.. sorry. too damn funny!, sorry.
neutral,"although wolverine wasn't a great movie, i don't think it was as bad as everyone is saying...&amp; at least taylor kitsch was in it"," although wolverine wasn't a great movie, i don't think it was as bad as everyone is saying...&amp; at least taylor kitsch was in it"
positive,it's teddy chucking time, it's teddy chucking time
positive,"@mrskutcher a man loves his sweetheart the most, his wife the best, but his mother the longest. happy mother's day", happy mother's day
negative,"@jeknexus oooommmmggg, you probs will, too busy to slay properly for a while  hopefully i'll stay ahead doing 1 task a week!"," oooommmmggg, you probs will, too busy"
neutral,from here to cyborgs there's but a small leap  - http://www.newscientist.com/article/mg20227065.900, from here to cyborgs there's but a small leap - http://www.newscientist.com/article/mg20227065.900
neutral,have to eat my veggies today.mashed corn and string beans.but have steak along on the side, have to eat my veggies today.mashed corn and string beans.but have steak along on the side
negative,just watched one tree hill episode 22 season 6... never cried this much since keith died!!!!!! oth is epic for sure!!!!!!  xxx, never cried
negative,"by @nikhilbhaskaran drove a #-mazda #rx8 today and boy, that car is fun! sadly though, i don't find my car that much fun any more"," sadly though, i don't find my car that much fun any more"
positive,"just potted some geraniums then talked to the grandkids, well maddie - jack was outside playing.  i sure miss 'em!!!", i sure miss 'em!!!
negative,now i'm all sad because i'll probably never see fleetwood mac., sad
positive,google goes pink today, google goes pink today
positive,is wishing everyone a blessed &amp; beautiful mother's day!, blessed &amp; beautiful mother's day!
positive,@alibalijeweller i'm come and try to find you and be your fan too, fan
positive,"&quot;...you'll never have to be alone; i love you, and that's all i really know...&quot;"," i love you,"
positive,heaos keen for next weekend.        mummy. &lt;3, keen
positive,i really wanted to watch mary poppins and sing along., i really wanted to watch mary poppins and sing along.
negative,@mandypandy32 i hope for her sake she does could it could get worse, worse
negative,@exton won't anyone give poor ernie reyes jr a break?, poor
neutral,ha that was cliche., ha that was cliche.
negative,@racheldouglas i am totally trying to get back my pcw too, i am totally trying to get back my pcw too
positive,@jesssicababesss really? cuz kc.com said it was releasd 24/4 here n the main station doesn't even hav it, @jesssicababesss really? cuz kc.com said it was releasd 24/4 here n the main station doesn't even hav it
neutral,my skype is - laqueshaa (just cuz everyone else is saying theirs  and i'm such a loner d, my skype is - laqueshaa (just cuz everyone else is saying theirs and i'm such a loner d
neutral,@danielmiller89 they used to. many moons ago., @danielmiller89 they used to. many moons ago.
neutral,to all mothers out there... or even soon to be mothers &gt;8d happy mother's day y'all, to all mothers out there... or even soon to be mothers &gt;8d happy mother's day y'all
negative,@t_isfortammy sad tweets are sad, sad tweets are sad
neutral,delish  serendipity3, delish serendipity3
negative,@bmerten85 @anthonycolaneri pool party? why wasn't i informed????, why wasn't i informed????
positive,"@nikkibenz the hulk, great movie  you might recognize toronto's younge street in some of the fight scenes.", great
positive,@inrsoul argh. interested. time maybe can't go. maybe., interested.
neutral,i hate it when i forget to actually turn on the dryer, i hate it when i forget to actually turn on the dryer
positive,i just finished first season six feet under, i just finished first season six feet under
neutral,"@theyotesdiva you might have too. one of them accused you guys to being &quot;one sided&quot; on the issue. they're getting way, way out of hand."," @theyotesdiva you might have too. one of them accused you guys to being &quot;one sided&quot; on the issue. they're getting way, way out of hand."
negative,"@wendywings just hoping you're ok, sincerely concerned", sincerely concerned
positive,via @cornellfinch: found #geocache head's up! http://coord.info/gc1ret6. probably my only find of the day.  http://bit.ly/js3s4, probably my only find of the day.
positive,"o/*\o (high five) to all of our fans! it's finally here! i'll write up a fancy news post shortly, wanted to get the mod itself out asap", (high five) to all of our fans!
positive,addict to &quot;long time gone&quot;, addict
negative,"i'm sunburnt on my arms, and i have burnt my mouth, and some skin is coming off", burnt
neutral,@gabemedina my problem is the other way around.  except i have a loop hole.  education = equivalent experience, @gabemedina my problem is the other way around. except i have a loop hole. education = equivalent experience
neutral,"thought id tanned after an hour in the sun, i was wrong....i've just burnt"," thought id tanned after an hour in the sun, i was wrong....i've just burnt"
neutral,@emlynley i couldn't find any extendable ones., @emlynley i couldn't find any extendable ones.
negative,@_kotenok !!  ... maybe they took one look at you and said &quot;that's our girl!&quot;, maybe they took one look at you and said &quot;that's our girl!&quot;
negative,i'm a bum today, bum
negative,@c0oki3 u think u have bills ha!ii just finished paying mine that's y i'm broke, broke
positive,@max2sky i  have a visual.  i'm smiling.    see, i'm smiling.
positive,just got back from the long weekend, just got back from the long weekend
negative,kids  b'day party/picnic  in canazarro park.  the other half 'hurts' today, 'hurts'
neutral,@j_stathamfans1  you sure are dedicated...gotta love that!!!  have a great &amp; productive day, @j_stathamfans1 you sure are dedicated...gotta love that!!! have a great &amp; productive day
negative,stupid net  we think mum broke it. again., stupid
negative,@hptwilighter i'm dying to read it!  i hate england., i hate england.
positive,"@spanglegluppet *laughs* i'm glad that you have self confidence - it's a wonderful trait to have  i'll applaud extra loud for it, okay?", i'm glad
negative,i'm gonna cry    i went bad at my history test ! i really hate history  !, i'm gonna cry i went bad at my history test ! i really hate history !
positive,off to school. who knows what to expect? bring on life and all of it's suprises!, bring on life and all of it's suprises!
neutral,"listening to the commentary track on holiday inn. never thought i'd see bing crosby in black face, but the rest of the movie was cute"," listening to the commentary track on holiday inn. never thought i'd see bing crosby in black face, but the rest of the movie was cute"
negative,@msmiya127 did your car get towed? thats what happened to redgie's car last time he went there  another reason why i don't like splashtown, i don't like splashtown
negative,sick  and happy 13th amanda, sick
negative,@narrated it's kool...it's his job i blame, i blame
neutral,3/4 through project car 1., 3/4 through project car 1.
neutral,"9 imperials later, i'm ready ready for a nap."," 9 imperials later, i'm ready ready for a nap."
positive,at the doctors office woooo so much fun. have to go back to wotk after this cant afford to be off., woooo so much fun.
neutral,@tomfelton have you seen this girl!? http://bit.ly/14lvi    i feel so bad for her, @tomfelton have you seen this girl!? http://bit.ly/14lvi i feel so bad for her
positive,@foxandfriends i am glad to hear that you are ok. without you they would have to rename the show to  &quot;just friends&quot;, glad
negative,'wake up darling', 'wake up darling'
neutral,barnsley to keep davey   and sign a new experienced striker., barnsley to keep davey and sign a new experienced striker.
positive,says happy mother's day!  http://plurk.com/p/suqsg, happy
positive,@abstractg @grendel @tigertigercb woohoo! i got the sunbeam cafï¿½ series grinder at eu foods for only $198! epic win,ic win
negative,@queensnyprinces thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!, @queensnyprinces thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!
negative,off the road this week, off the road this week
neutral,"i told taylor i wanted to punch a baby, because i'm in so much pain and her response was &quot;what baby?&quot;. i love my family."," i told taylor i wanted to punch a baby, because i'm in so much pain and her response was &quot;what baby?&quot;. i love my family."
negative,im so sad that im missing the @chiodos show in ohio. it's the first show ive missed in 3 years that's been close enough to drive to., im so sad
negative,can't sleep...so i'm watching hgtv. i'm afraid infomercials are about to take over, i'm afraid
neutral,@aplusk i would think the pres would be afraid you'd pun'k him, @aplusk i would think the pres would be afraid you'd pun'k him
negative,my lord! this day is going to slow, slow
negative,"@ajaedandridge ate pussy, i refuse to bless her cuz she already clingy", i refuse to bless her cuz she already clingy
neutral,tom delonge?, tom delonge?
negative,the engine on my car blew, blew
neutral,going offline. buhbye twit, going offline. buhbye twit
positive,@mitchelmusso  i would so call you if i knew what to say &amp; if it wasn't long distance    but i do love you!, i do love you!
positive,"@nuttychris greatings from planet shannan, we have laded once again on your lanet &amp; hopefull we come in peace =/ hmm...haiaa", hopefull
neutral,tried to whore out my twitter @ ffaf but lj dies everytime i try, tried to whore out my twitter @ ffaf but lj dies everytime i try
negative,@shadiya i hope you were feeling better today!, i hope you were feeling better today!
positive,auntiegail says 'today i am picking up the hi-vis vests for the kids they say 'auntie gails childminding service'  xxx.', xxx.'
neutral,can't wait till friday. leave school at 10:15 and party at manor heath for the rest of the day, can't wait till friday. leave school at 10:15 and party at manor heath for the rest of the day
neutral,"nvm, i'll stop. whatever. see you 5th i guess"," nvm, i'll stop. whatever. see you 5th i guess"
positive,"@yahyan  yahyan: @supremacii iaaaaaaaaaaaaan, i was just joking", joking
negative,@lil_miss_cbw sorry!  it's been one hell of a day.  i has flooding, sorry!
neutral,@almightygod do we need a poll to see whom is least comprehensible? haha!!, @almightygod do we need a poll to see whom is least comprehensible? haha!!
negative,"@argyle_sockso_o: i'm sorry, shannon."," i'm sorry,"
neutral,"@youngstud07 i found it, i added it, but it's still blocked!"," @youngstud07 i found it, i added it, but it's still blocked!"
negative,@sweethomebirth  link isn't working, isn't working
negative,on my way to shreveport to forget all the bad things he's brought into my life, bad things he's brought into my life
positive,at school again  its boring and these people are playing country and it sucks !!!!xd, at school again its boring and these people are playing country and it sucks
negative,i'm suffering from restless legs and butt syndrome., suffering
negative,house hunting was a pain! house shifting is a super pain!! packing never seems to end  i can't even imagine unpacking :-p, pain!
negative,just got my rejection email from jeffco schools.  fingers crossed for boulder valley..., rejection
positive,@burt_e  it's an honour being your friend!!!! http://bit.ly/lhgz2, honour
negative,so exhausted, exhausted
positive,happy mother's day to all the mums, happy
negative,ohhhh my feet ache, ache
negative,"god, why can't i be at #asylum? really. i never get to do anything cool!", i never get to do anything cool!
negative,"one mo time becuz @amazingsha hasnt seen it yet!!! and shes soo damn cool, ill post it just 4 her  http://bbltwt.com/0mqko"," damn cool,"
negative,"@adidasgoddess19 haha amen! im sooo damn hungry... and i hate knowing my weekends gonna be shit, when its supposed to be great", hate
neutral,i'm clean, i'm clean
negative,@phunybuny @iamtheplague wow.  i hope he gets better... cancer can gtfo., wow. i hope he gets better... cancer can gtfo.
positive,"@retrorewind ahh dave canada isn't included  that's okay, we still love ya!  let's get this!", we still love
negative,i need to wake up earlier so i'm actually tired enough to fall asleep, tired
negative,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready, omg! goooood ass
positive,i am outta here... see you guys later (or tomorrow)... happy mom's day again!, happy
neutral,having my dinner. eating bangus.  it's a fish., having my dinner. eating bangus. it's a fish.
negative,rah rah. youtube isn't working again. oh great, youtube isn't working again.
neutral,watching basement jaxx's set on radio one site, watching basement jaxx's set on radio one site
negative,i don't wanna go to work, i don't wanna go to work
neutral,is in php website upgrade hell on a bank holiday. how's that for planning!, is in php website upgrade hell on a bank holiday. how's that for planning!
positive,i want cookies for breakfast! luckily i'm an adult and can do that!, luckily
negative,i am sitting at the computer eating grapes  it's hailing outside! o: i miss summer., i miss
positive,made a bomb and it blew in my mouth!..just made the best f*ing dinner!, best f*ing dinner!
positive,@pinkmango77 vll iwas mit kï¿½se, iwas mit kï¿½se
neutral,@anshprat yahoo maps! lots more to desire #yahoo, @anshprat yahoo maps! lots more to desire #yahoo
negative,"so hot today =_=  don't like it and i hate my new timetable, having such a bad week"," don't like it and i hate my new timetable, having such a bad week"
negative,@squiretwizz you're right- you don't do sympathy very well, you don't do sympathy very well
positive,@jonathanrknight @jordanknight happy mother's day to your mum, happy
positive,o wow tia! the clip was only 14 seconds, wow
negative,so damn tired! another long day trw!, so damn tired!
negative,@_esme_cullen_  i'm taking a million songs from your blip.fm station thing. sorry, sorry
neutral,@pcsketch it would be cheaper to take on the spirit of tasmania (the ship from the island i am on). busses are expensive to ship, @pcsketch it would be cheaper to take on the spirit of tasmania (the ship from the island i am on). busses are expensive to ship
negative,@idolscott that is so great scott!  so glad to hear it went well   people just love you!!  i'd sure have been there if i were closer., so glad to hear it went well people just love you!! i'd sure have been there if i were closer.
negative,watching wall-e.....it's so cute but sad, sad
neutral,"@vans_66 i haven't had slip-ons in years, since my checkered days. matter of fact i only have my torn up all black classics."," @vans_66 i haven't had slip-ons in years, since my checkered days. matter of fact i only have my torn up all black classics."
neutral,@eajosh who did you hear that from?  but if thats true. i am right her!!!, @eajosh who did you hear that from? but if thats true. i am right her!!!
neutral,"i'm gonna stop hogging the laptop for tonight. tomorrow again, twitterers!"," i'm gonna stop hogging the laptop for tonight. tomorrow again, twitterers!"
neutral,@dayawonton:  i've been!, @dayawonton: i've been!
negative,@laurenconrad it says lo's page doesnt exist, doesnt exist
negative,not to be too macabre but its hard to believe we dropped a real nuclear weapon on real japanese humans.  http://ow.ly/9nru #warisfucked, hard to believe we dropped a real nuclear weapon on real japanese humans. http://ow.ly/9nru #warisfucked
negative,@jayojay i'm straining to hear but it's very hard from all the way over here., hard
positive,@shortyyyy it was only $8.00 for the curtain and the two rugs  it makes bathing exciting hahaha!, exciting
negative,"poor @imissbradandjen 's mom just told her she looked like a hooker.  the skirt wasn't that short, and it's 87 degrees out!", poor
negative,@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life., horribly gory short film on drugs a few months ago. i'm scarred for life.
neutral,@rasmuskl @rwj_defcon1 i gather you guys continued the drinking after i left?, @rasmuskl @rwj_defcon1 i gather you guys continued the drinking after i left?
negative,i ran out of white and yellow oil paint   i may have to add &quot;utrecht run&quot; to my list., i ran out of white and yellow oil paint
negative,@tdrfarmer are you going to the game tonight? there is so much excitement today that i'm feeling left out. have other plans, i'm feeling left out.
positive,aha @sadie_marie my brother's wallpaper on his phone is dolly the sheep  aha i'm loling., aha @sadie_marie my brother's wallpaper on his phone is dolly the sheep aha i'm loling.
negative,@ego_assassin @slinka sucks about your cat... hope you guys feel better, sucks
positive,new delerium's music video (http://tr.im/kpu3). mixed by tiesto. i guess bill leeb finally forgot his music's roots, i guess bill leeb finally forgot his music's roots
positive,@alexalltimelow happy mother's day hahaha, happy
neutral,@melbournegirl i'm sure some1 will cum out and play. i'm workin through til midnight., @melbournegirl i'm sure some1 will cum out and play. i'm workin through til midnight.
negative,"@linz__marie idk...i feel horrible...and i think my mom would be suspicious since i've been in bed for a straight 2 days,but thnx anyways",i feel horrible...
positive,yay! go wyattt your totally amazing'!'! im so happy for you.  yay, im so happy
neutral,@dirtbikegirl18 i don't think he's confirmed but i have a feeling he'll be at glen helen. just my opinion, @dirtbikegirl18 i don't think he's confirmed but i have a feeling he'll be at glen helen. just my opinion
negative,infamous should have arrived today. but it didn't..., infamous should have arrived today. but it didn't...
negative,i'm still in bed and on the laptop ...yep borin !!!, borin !!!
negative,@tooshort55 it'll probably come out like i'm drunk or something...i'll be so nervous!! lol...thats why we will be there to help eachother,...i'll be so nervous!!
negative,rblpnqte @sheryonstone: &quot;sheesh i am sending one up to you @ladypn.  i think you could use it  lol&quot; rb delux... ? http://blip.fm/~5z36j, rb delux...
negative,"gosh i miss singer's theater.  i miss learning music, doing acting exercises, n i especially miss being onstage.", miss
positive,i'm learning the guitar very quickly. it's coming naturally, i'm learning the guitar very quickly. it's coming naturally
negative,stupid weather, stupid weather
negative,watching the final episode of boys before flowers, watching the final episode of boys before flowers
neutral,@markwreeve we need to get you a image icon other then the default one, @markwreeve we need to get you a image icon other then the default one
positive,going back to manila this evening. all my trips to cebu are so bitin., all my trips to cebu are so bitin.
negative,@joenkobema73 what's wrong? how come u in pain?, what's wrong? how come u in pain?
positive,"@penguinsnews go pens go, gino wins it for the pens", wins
positive,@jspruett have a safe trip joshy poo.......you'll knock them dead at your speech, safe
neutral,misses lance already..., misses lance already...
negative,@frenchiep hi frenchie *-* i'll do that...later  :p, hi frenchie *-* i'll do that...later :p
neutral,@aeakett and who says i wasn't just muttering to myself?, @aeakett and who says i wasn't just muttering to myself?
negative,now watching kill bill vol. 1  i love movies so much., i love movies so much.
negative,irony: inventor of ford mustang can't keep his car   http://tinyurl.com/lpmvtk via @jeffholton:, irony:
positive,@scaldara hahaha i only have the groundhog to play with, hahaha
positive,loven the rs ftw pvp is bac, loven the rs ftw pvp is bac
positive,"new logo! for all the web, cheak it!...gallethoo",gallethoo
negative,"totally prepped for interview at 10, too bad twitter is off line..  - http://mobypicture.com/?onewzs", too bad
neutral,gonna have some brekkie get ready and then do it, gonna have some brekkie get ready and then do it
negative,"morning.. just,  going to destroy a few more  trees in aid of research", destroy
neutral,am going to get some tattos when i get paid  jack, am going to get some tattos when i get paid jack
positive,"@chellanglo *hugs* love you, mamabear!  happy mom's day!!!! (in case i don't see you around tomorrow)", happy mom's day!!!!
negative,@theblackestsea oh crap!!, oh crap!!
negative,"@askegg i'm sorry, andrew. i wish there was something i could do..."," i'm sorry,"
negative,i'm suppose to get up to go find sumthin to wear tomorrow but i can't get up, i can't get up
neutral,was on the verge of buying a black akc british lab for $599 today... then the apartment complex overruled it....  dumb., was on the verge of buying a black akc british lab for $599 today... then the apartment complex overruled it.... dumb.
neutral,@grasuth is that it's welsh name?, @grasuth is that it's welsh name?
positive,i have the immense pleasure of being entertained by pride &amp; prejudice for the 3rd time and i must say that i find it very much agreeable, i have the immense pleasure of being entertained by pride &amp; prejudice for the 3rd time and i must say that i find it very much agreeable
neutral,@voyd ya i heard 7 was a giant leap in the right direction. this is a work comp though  ill enquire!, @voyd ya i heard 7 was a giant leap in the right direction. this is a work comp though ill enquire!
neutral,"@hughsbeautiful oherr it's soon then, do you have plans? i had a party on saturday  x"," @hughsbeautiful oherr it's soon then, do you have plans? i had a party on saturday x"
neutral,@kev_95 wangotango  where were you? lol, @kev_95 wangotango where were you? lol
positive,"finally welcoming new #followers: @syedbalkhi, @knowem, @avilan, @jkneen, @webfusion5 &amp; @jonathanengalla. tweet on!", finally welcoming
